0.000;0.000;2992930.000;
0.000;0.000;0.000;
0.000;0.000;90.000;
0.000;0.000;9151.000;
0.000;0.000;915149.000;
0.000;0.000;2958957.000;
0.000;0.000;0.000;
0.000;0.000;90.000;
0.000;0.000;9164.000;
0.000;0.000;916508.000;
0.000;0.000;3094866.000;
0.000;0.000;0.000;
0.000;0.000;90.000;
0.000;0.000;9153.000;
0.000;0.000;915376.000;
0.000;0.000;2981603.000;
0.000;0.000;0.000;
0
0.000;0.000;90.000;
0.000;0.000;9160.000;
0.000;0.000;916055.000;
0.000;0.000;3049565.000;
0.000;0.000;0.000;
0.000;0.000;90.000;
0.000;0.000;9163.000;
0.000;0.000;916394.000;
0.000;0.000;90.000;
0.000;0.000;9155.000;
0.000;0.000;90.000;
0.000;0.000;9121.000;
0.000;0.000;912204.000;
0.000;0.000;2664477.000;
0.000;0.000;0.000;
0.000;0.000;90.000;
0.000;0.000;9081.000;
0.000;0.000;908240.000;
0.000;0.000;2268061.000;
0.000;0.000;0.000;
0.000;0.000;90.000;
0.000;0.000;9125.000;
0.000;0.000;912544.000;
0.000;0.000;2698450.000;
0.000;0.000;0.000;
0.000;0.000;90.000;
0.000;0.000;9152.000;
0.000;0.000;915262.000;
0.000;0.000;2970276.000;
0.000;0.000;0.000;
0.000;0.000;90.000;
0.000;0.000;9171.000;
0.000;0.000;917188.000;
0.000;0.000;3162821.000;
0.000;0.000;0.000;
0.000;0.000;90.000;
0.000;0.000;9151.000;
0.000;0.000;915149.000;
0.000;0.000;2958957.000;
0.000;0.000;0.000;
0.000;0.000;90.000;
0.000;0.000;9183.000;
0.000;0.000;918434.000;
0.000;0.000;3287410.000;
0.000;0.000;0.000;
9.000;0.000;90.000;
1026.000;0.000;9157.000;
102611.000;0.000;915828.000;
10261230.000;0.000;3026911.000;
-4669117.000;0.000;0.000;
-4669117.000;0.000;90.000;
-4669117.000;0.000;9122.000;
-4669117.000;0.000;912317.000;
-4669117.000;0.000;2675804.000;
-4669117.000;0.000;0.000;
-4669117.000;0.000;90.000;
-4669117.000;0.000;9140.000;
-4669117.000;0.000;914016.000;
-4669117.000;0.000;2845694.000;
-4669117.000;0.000;0.000;
-4669117.000;0.000;90.000;
-4669117.000;0.000;9170.000;
-4669117.000;0.000;90.000;
-4669117.000;0.000;9160.000;
-4669117.000;0.000;916055.000;
-4669117.000;0.000;90.000;
-4669117.000;0.000;9164.000;
-4669117.000;0.000;916508.000;
-4669117.000;0.000;3094866.000;
-4669117.000;0.000;0.000;
9.000;0.000;90.000;
1013.000;0.000;9141.000;
101403.000;0.000;914130.000;
10140381.000;0.000;2857021.000;
-16754058.000;0.000;0.000;
0
-16754058.000;0.000;90.000;
-16754058.000;0.000;9137.000;
-16754058.000;0.000;913790.000;
-16754058.000;0.000;2823040.000;
-16754058.000;0.000;0.000;
-16754058.000;0.000;90.000;
-16754058.000;0.000;9127.000;
-16754058.000;0.000;912770.000;
-16754058.000;0.000;2721104.000;
-16754058.000;0.000;0.000;
-16754058.000;0.000;90.000;
9.000;0.000;90.000;
1051.000;0.000;9176.000;
105138.000;0.000;917640.000;
10513916.000;0.000;3208129.000;
10513916.000;0.000;87.000;
10513916.000;0.000;8775.000;
10513916.000;0.000;877546.000;
10513916.000;0.000;-801320.000;
10513916.000;0.000;0.000;
10513916.000;0.000;90.000;
10513916.000;0.000;9086.000;
10513916.000;0.000;908693.000;
10513916.000;0.000;2313369.000;
10513916.000;0.000;0.000;
10513916.000;0.000;90.000;
10513916.000;0.000;9058.000;
10513916.000;0.000;905862.000;
10513916.000;0.000;2030216.000;
10513916.000;0.000;0.000;
10513916.000;0.000;86.000;
10513916.000;0.000;8691.000;
10513916.000;0.000;869165.000;
10513916.000;0.000;-1639445.000;
10513916.000;0.000;0.000;
10513916.000;0.000;90.000;
10513916.000;0.000;9180.000;
10513916.000;0.000;918093.000;
10513916.000;0.000;3253429.000;
10513916.000;0.000;90.000;
10513916.000;0.000;90.000;
10513916.000;0.000;9093.000;
10513916.000;0.000;909372.000;
10513916.000;0.000;2381324.000;
10513916.000;0.000;0.000;
10513916.000;0.000;90.000;
10513916.000;0.000;90.000;
10513916.000;0.000;9152.000;
10513916.000;0.000;915262.000;
10513916.000;0.000;2970276.000;
10513916.000;0.000;90.000;
10513916.000;0.000;9180.000;
10513916.000;0.000;918093.000;
10513916.000;0.000;3253429.000;
10513916.000;0.000;0.000;
10513916.000;0.000;90.000;
10513916.000;0.000;9138.000;
10513916.000;0.000;913903.000;
10513916.000;0.000;2834367.000;
10513916.000;0.000;0.000;
10513916.000;0.000;91.000;
10513916.000;0.000;9233.000;
10513916.000;0.000;923417.000;
10513916.000;0.000;3785762.000;
10513916.000;0.000;0.000;
10513916.000;0.000;90.000;
10513916.000;0.000;9170.000;
10513916.000;0.000;917074.000;
10513916.000;0.000;3151494.000;
10513916.000;0.000;0.000;
10513916.000;0.000;90.000;
10513916.000;0.000;9174.000;
10513916.000;0.000;917527.000;
10513916.000;0.000;3196802.000;
10513916.000;0.000;0.000;
0
10513916.000;0.000;90.000;
10513916.000;0.000;9131.000;
